epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.4399,1.32177,1.21433,1.03373,0.97768,0.90443,0.9453,0.58644,1.30184,0.82809,1.01713,0.00066494,0.00066494,0.00066494
2,163.163,1.28196,0.76304,1.02682,0.94985,0.90576,0.93931,0.60513,1.26281,0.73402,1.04536,0.00132641,0.00132641,0.00132641
3,234.133,1.25974,0.70176,1.03706,0.98089,0.92063,0.94933,0.62985,1.20978,0.65039,1.06125,0.0019672,0.0019672,0.0019672
4,300.368,1.23367,0.66641,1.03356,0.9489,0.91196,0.93637,0.61827,1.26193,0.65083,1.04391,0.00193048,0.00193048,0.00193048
5,366.566,1.21659,0.64001,1.03364,0.96263,0.91413,0.94547,0.61777,1.24379,0.64355,1.07309,0.00187754,0.00187754,0.00187754
6,428.799,1.1932,0.61214,1.02837,0.985,0.93043,0.96052,0.63812,1.22031,0.58828,1.07085,0.00181093,0.00181093,0.00181093
7,491.941,1.18111,0.59736,1.01827,0.96891,0.92772,0.95512,0.63421,1.22274,0.58072,1.05772,0.00173168,0.00173168,0.00173168
8,556.499,1.17023,0.57188,1.01714,0.97092,0.9255,0.95621,0.64104,1.20428,0.56408,1.052,0.00164105,0.00164105,0.00164105
9,625.793,1.15545,0.55987,1.00865,0.975,0.94076,0.96351,0.64699,1.16908,0.54312,1.04077,0.00154047,0.00154047,0.00154047
10,690.495,1.13368,0.543,1.00442,0.98675,0.93069,0.96452,0.66112,1.16512,0.51862,1.03439,0.00143152,0.00143152,0.00143152
11,762.558,1.13665,0.53706,1.00332,0.98049,0.92886,0.96207,0.66445,1.13587,0.50884,1.01713,0.00131593,0.00131593,0.00131593
12,837.015,1.13071,0.52385,1.00045,0.98346,0.93729,0.96543,0.67579,1.12724,0.48795,1.01711,0.00119551,0.00119551,0.00119551
13,910.57,1.12066,0.52192,0.99496,0.98554,0.93804,0.96597,0.6816,1.14365,0.49052,1.01847,0.00107216,0.00107216,0.00107216
14,982.148,1.09474,0.4989,0.98939,0.98297,0.94239,0.96671,0.68441,1.11107,0.47525,1.00961,0.000947837,0.000947837,0.000947837
15,1046.31,1.09227,0.49394,0.99045,0.98477,0.9413,0.96664,0.68224,1.11173,0.46107,1.00823,0.000824492,0.000824492,0.000824492
16,1171.74,1.07691,0.46497,1.00849,0.98412,0.9432,0.96887,0.67929,1.14964,0.48145,1.01918,0.000704073,0.000704073,0.000704073
17,1236.96,1.07059,0.45495,1.01375,0.98644,0.93587,0.96984,0.69074,1.11134,0.46346,1.00527,0.000588479,0.000588479,0.000588479
18,1324.82,1.05261,0.43902,1.00586,0.98321,0.94185,0.96972,0.68826,1.09971,0.46018,1.00547,0.000479531,0.000479531,0.000479531
19,1398.36,1.0376,0.42911,1.00288,0.98916,0.94226,0.97102,0.68558,1.11798,0.44824,1.00685,0.00037895,0.00037895,0.00037895
20,1472.89,1.03447,0.42135,1.00226,0.98745,0.94096,0.96959,0.69346,1.09552,0.43083,0.99831,0.000288321,0.000288321,0.000288321
21,1541.98,1.02057,0.41242,0.99581,0.98865,0.9468,0.97379,0.69579,1.08801,0.42653,0.99866,0.000209073,0.000209073,0.000209073
22,1606.37,1.00982,0.40332,0.99031,0.98972,0.94209,0.97374,0.69246,1.09891,0.43108,0.99905,0.000142456,0.000142456,0.000142456
23,1669.78,0.99958,0.39714,0.99053,0.98805,0.94336,0.97276,0.69886,1.07964,0.42134,0.99455,8.95213e-05,8.95213e-05,8.95213e-05
24,1741.9,0.99655,0.39319,0.98909,0.99151,0.94293,0.97324,0.70078,1.07281,0.41754,0.99088,5.11027e-05,5.11027e-05,5.11027e-05
25,1803.37,0.9929,0.38896,0.98807,0.99107,0.94293,0.97332,0.7005,1.07376,0.41495,0.99155,2.78064e-05,2.78064e-05,2.78064e-05
